#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 00 999 99.0 99.0  0.56 11.11  8.44 244 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 01 00 30 999 99.0 99.0  0.61 13.33  8.87 211 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 01 01 00 999 99.0 99.0  0.59 12.50  7.76 239 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 01 01 30 999 99.0 99.0  0.56 11.76  6.12 281 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 01 02 00 999 99.0 99.0  0.63 11.76  7.14 264 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 01 02 30 999 99.0 99.0  0.64 13.33  6.95 218 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 01 03 30 999 99.0 99.0  0.60 11.76  6.24 266 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 01 04 00 999 99.0 99.0  0.61 13.33  6.13 212 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 01 04 30 999 99.0 99.0  0.64 13.33  6.18 228 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 01 05 00 999 99.0 99.0  0.62 13.33  5.78 223 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 01 05 30 999 99.0 99.0  0.60 13.33  6.10 198 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 01 06 00 999 99.0 99.0  0.61 10.53  6.08 277 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 01 06 30 999 99.0 99.0  0.62 11.76  6.19 273 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 07 00 999 99.0 99.0  0.62 13.33  5.87 208 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 07 30 999 99.0 99.0  0.65 10.53  5.90 270 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 08 00 999 99.0 99.0  0.69 13.33  5.96 225 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 08 30 999 99.0 99.0  0.66 11.11  5.46 268 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 08 58 999 99.0 99.0  0.69 12.50  5.22 215 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 09 30 999 99.0 99.0  0.68 12.50  5.17 237 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 10 00 999 99.0 99.0  0.68 13.33  5.20 219 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 10 30 999 99.0 99.0  0.66 13.33  5.11 221 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 11 00 999 99.0 99.0  0.65 13.33  5.30 191 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 11 30 999 99.0 99.0  0.65 16.67  5.29 219 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 12 00 999 99.0 99.0  0.69 12.50  5.28 229 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 12 30 999 99.0 99.0  0.62 11.11  5.07 264 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 13 00 999 99.0 99.0  0.67 10.53  5.61 261 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 13 30 999 99.0 99.0  0.64 12.50  5.93 237 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 14 00 999 99.0 99.0  0.63 12.50  6.15 230 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 14 30 999 99.0 99.0  0.62 13.33  6.24 228 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 15 00 999 99.0 99.0  0.62 12.50  6.37 232 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 15 30 999 99.0 99.0  0.61 11.11  6.45 280 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 16 00 999 99.0 99.0  0.64 13.33  6.91 211 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 16 30 999 99.0 99.0  0.60 10.53  6.70 289 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 17 00 999 99.0 99.0  0.67 12.50  7.38 228 9999.0 999.0  16.6 999.0 99.0 99.00
