"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2018/01/01","00:00","-0.936","-","-0.852"
"2018/01/01","01:00","-0.565","-","-0.483"
"2018/01/01","02:00","-0.169","-","-0.096"
"2018/01/01","03:00","0.157","-","0.203"
"2018/01/01","04:00","0.345","-","0.393"
"2018/01/01","05:00","0.365","-","0.405"
"2018/01/01","06:00","0.235","-","0.245"
"2018/01/01","07:00","0.014","-","0.044"
"2018/01/01","08:00","-0.211","-","-0.155"
"2018/01/01","09:00","-0.354","-","-0.295"
"2018/01/01","10:00","-0.348","-","-0.266"
"2018/01/01","11:00","-0.171","-","-0.085"
"2018/01/01","12:00","0.155","-","0.213"
"2018/01/01","13:00","0.558","-","0.634"
"2018/01/01","14:00","0.942","-","1.015"
"2018/01/01","15:00","1.205","-","1.279"
"2018/01/01","16:00","1.268","-","1.324"
"2018/01/01","17:00","1.098","-","1.15"
"2018/01/01","18:00","0.711","-","0.741"
"2018/01/01","19:00","0.177","-","0.201"
"2018/01/01","20:00","-0.4","-","-0.383"
"2018/01/01","21:00","-0.906","-","-0.877"
"2018/01/01","22:00","-1.244","-","-1.189"
"2018/01/01","23:00","-1.355","-","-1.312"
"2018/01/02","00:00","-1.232","-","-1.183"
"2018/01/02","01:00","-0.92","-","-0.85"
"2018/01/02","02:00","-0.504","-","-0.453"
"2018/01/02","03:00","-0.086","-","-0.022"
"2018/01/02","04:00","0.238","-","0.297"
"2018/01/02","05:00","0.402","-","0.44"
"2018/01/02","06:00","0.387","-","0.416"
"2018/01/02","07:00","0.224","-","0.253"
"2018/01/02","08:00","-0.016","-","0.028"
"2018/01/02","09:00","-0.241","-","-0.16"
"2018/01/02","10:00","-0.362","-","-0.256"
"2018/01/02","11:00","-0.322","-","-0.229"
"2018/01/02","12:00","-0.105","-","-0.017"
"2018/01/02","13:00","0.251","-","0.3"
"2018/01/02","14:00","0.665","-","0.713"
"2018/01/02","15:00","1.034","-","1.082"
"2018/01/02","16:00","1.258","-","1.324"
"2018/01/02","17:00","1.266","-","1.342"
