Timestamp,Observation Date,Observation Time,Rip Current Activity [Balboa Ct.],Rip Current Activity [San Fernando Pl.],Rip Current Activity [Santa Clara Pl.],Balboa Ct. Rip Index,San Fernando Pl Rip Value,Santa Clara Rip Index,Balboa Ct. # of Rip Rescues:,San Fernando Pl.. # of Rip Rescues:,Santa Clara Pl.. # of Rip Rescues:,Observer ID:,Username,Statement 0,Statement 1,Statement 2,Statement 3
6/12/2015 14:16:07,6/12/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Boisvert,,,,,
6/12/2015 19:37:59,6/12/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Brian Clark,,,,,
6/13/2015 18:39:00,6/13/2013,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",1,2,2,0,0,0,221232,,,,,
6/15/2015 13:39:59,6/15/2015,11:00 AM,"Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",3,2,2,0,0,0,191922,,,,,
6/16/2015 15:18:18,6/16/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",1,3,2,0,3,0,121531,,,,,
6/16/2015 20:25:08,6/16/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",2,3,2,1,3,1,121531,,,,,
6/18/2015 14:44:30,6/18/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Brian Clark,,,,,
6/18/2015 18:09:48,6/18/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,0,0,0,Rvandever,,,,,
6/19/2015 14:34:56,6/19/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Brian Clark,,,,,
6/19/2015 20:13:45,6/19/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",2,2,1,1,1,0,Brian Clark,,,,,
6/20/2015 14:08:16,6/20/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,0,0,0,221232,,,,,
6/20/2015 18:03:02,6/20/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,2,4,2,221232,,,,,
6/21/2015 12:50:19,6/21/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",1,3,2,0,2,0,121531,,,,,
6/22/2015 15:19:21,6/22/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,1,0,1,199552,,,,,
6/22/2015 18:16:34,6/22/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",2,3,2,4,3,4,121531,,,,,
6/25/2015 20:21:25,6/25/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",2,3,2,4,6,1,199552,,,,,
6/25/2015 21:25:37,6/25/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions",2,3,3,1,2,1,199552,,,,,
6/26/2015 16:32:39,6/26/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,2,1,0,5,0,Brian Clark,,,,,
6/27/2015 13:26:30,6/27/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions",1,3,3,0,0,0,121531,,,,,
6/27/2015 18:36:45,6/27/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions",2,3,3,4,7,3,121531,,,,,
6/28/2015 13:45:56,6/28/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions",1,3,3,0,0,0,121531,,,,,
6/28/2015 18:13:56,6/28/2015,3:00 PM,"Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",3,3,2,5,10,0,221232,,,,,
6/29/2015 14:30:27,6/29/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,0,0,0,199552,,,,,
6/29/2015 19:24:38,6/29/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions",1,3,3,2,2,0,121531,,,,,
6/30/2015 15:19:35,6/30/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",1,3,2,0,0,0,121531,,,,,
